raw,avg,ema,med,dt_avg_us,dt_ema_us,dt_med_us
1162,1,1,12
1161,1161,1161,1161,1,1,13
1161,1161,1161,1161,1,1,10
1163,1161,1161,1161,1,1,14
1161,1161,1161,1161,1,1,11
1163,1161,1161,1162,1,1,12
1163,1161,1162,1163,1,1,12
1162,1162,1162,1162,1,1,12
1161,1162,1161,1162,1,1,11
1162,1162,1161,1162,1,1,14
1161,1161,1161,1162,1,1,11
1162,1161,1161,1162,1,1,13
1163,1162,1162,1162,1,1,12
1162,1162,1162,1162,1,1,13
1161,1162,1161,1162,1,1,10
1163,1162,1162,1162,1,1,14
1163,1162,1162,1162,1,1,15
1163,1162,1162,1163,1,1,12
1163,1162,1162,1163,1,1,12
1161,1162,1162,1163,1,1,13
1163,1162,1162,1163,1,1,11
1163,1162,1162,1163,1,1,15
1163,1162,1162,1163,1,1,12
1163,1162,1162,1163,1,1,12
1161,1162,1162,1163,1,1,12
1163,1162,1162,1163,1,1,12
1161,1162,1162,1163,1,1,11
1163,1162,1162,1163,1,1,15
1163,1162,1162,1163,1,1,12
1162,1162,1162,1163,1,1,12
1163,1162,1162,1163,1,1,12
1163,1162,1162,1163,1,1,13
1161,1162,1162,1163,1,1,10
1161,1162,1162,1163,1,1,15
1161,1162,1161,1162,1,1,12
1161,1161,1161,1161,1,1,13
1162,1162,1161,1161,1,1,12
1162,1161,1161,1161,1,1,13
1163,1161,1162,1161,1,1,10
